name,lat,long,time,dist,elev
more accurate points of interest,18.0592816,-66.0316006,2019-08-05 17:21:15+00:00,0.00020532845759661344,204.056
more accurate points of interest,18.059279600000004,-66.0316102,2019-08-05 17:21:19+00:00,0.00020532845759661344,203.006
more accurate points of interest,18.059272399999998,-66.0316186,2019-08-05 17:21:21+00:00,0.00020532845759661344,202.476
more accurate points of interest,18.059271000000006,-66.03161879999999,2019-08-05 17:21:25+00:00,0.00020532845759661344,202.296
more accurate points of interest,18.0592676,-66.03161800000001,2019-08-05 17:21:30+00:00,0.00020532845759661344,202.346
more accurate points of interest,18.0592734,-66.0316052,2019-08-05 17:21:41+00:00,0.00020532845759661344,202.506
more accurate points of interest,18.0592774,-66.03159939999999,2019-08-05 17:21:55+00:00,0.00020532845759661344,202.676
more accurate points of interest,18.0592804,-66.0315946,2019-08-05 17:22:00+00:00,0.00020532845759661344,203.36599999999999
more accurate points of interest,18.059285199999998,-66.031592,2019-08-05 17:22:02+00:00,0.00020532845759661344,203.95600000000002
more accurate points of interest,18.0592818,-66.03159079999999,2019-08-05 17:22:17+00:00,0.00020532845759661344,204.086
more accurate points of interest,18.0592892,-66.0315828,2019-08-05 17:22:55+00:00,0.00020532845759661344,203.596
more accurate points of interest,18.059281400000003,-66.03158520000001,2019-08-05 17:23:16+00:00,0.00020532845759661344,203.506
more accurate points of interest,18.0592776,-66.03158479999999,2019-08-05 17:23:33+00:00,0.00020532845759661344,203.586
more accurate points of interest,18.059267,-66.0315916,2019-08-05 17:23:36+00:00,0.00020532845759661344,203.44600000000003
more accurate points of interest,18.0592556,-66.03159240000001,2019-08-05 17:23:45+00:00,0.00020532845759661344,203.73600000000002
more accurate points of interest,18.059245999999998,-66.0315934,2019-08-05 17:24:00+00:00,0.00020532845759661344,203.12600000000003
more accurate points of interest,18.0592474,-66.0315906,2019-08-05 17:24:13+00:00,0.00020532845759661344,203.536
more accurate points of interest,18.059244600000003,-66.03159720000001,2019-08-05 17:24:21+00:00,0.00020532845759661344,203.44600000000003
more accurate points of interest,18.0592516,-66.03160079999999,2019-08-05 17:24:34+00:00,0.00020532845759661344,204.086
more accurate points of interest,18.0592566,-66.03161320000001,2019-08-05 17:24:43+00:00,0.00020532845759661344,204.64600000000002
more accurate points of interest,18.059251600000003,-66.03162040000001,2019-08-05 17:24:53+00:00,0.00020532845759661344,205.286
more accurate points of interest,18.059254600000006,-66.0316354,2019-08-05 17:24:55+00:00,0.00020532845759661344,205.846
more accurate points of interest,18.0592536,-66.0316514,2019-08-05 17:24:59+00:00,0.00020532845759661344,206.216
more accurate points of interest,18.0592622,-66.03166780000001,2019-08-05 17:25:02+00:00,0.00020532845759661344,206.79600000000002
more accurate points of interest,18.059264199999998,-66.031677,2019-08-05 17:25:05+00:00,0.00020532845759661344,207.26600000000002
more accurate points of interest,18.0592588,-66.03167979999999,2019-08-05 17:25:14+00:00,0.00020532845759661344,207.376
more accurate points of interest,18.059245800000006,-66.0316772,2019-08-05 17:25:18+00:00,0.00020532845759661344,207.04600000000002
more accurate points of interest,18.059234600000003,-66.03167300000001,2019-08-05 17:25:21+00:00,0.00020532845759661344,206.936
more accurate points of interest,18.0592264,-66.03166680000001,2019-08-05 17:25:23+00:00,0.00020532845759661344,207.036
more accurate points of interest,18.0592164,-66.0316636,2019-08-05 17:25:25+00:00,0.00020532845759661344,208.54600000000002
more accurate points of interest,18.0592116,-66.03166139999999,2019-08-05 17:25:27+00:00,0.00020532845759661344,208.656
more accurate points of interest,18.059214000000004,-66.03165940000001,2019-08-05 17:25:29+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.059223400000004,-66.0316576,2019-08-05 17:25:38+00:00,0.00020532845759661344,209.04600000000002
